,Date,Class,No,Rider,Heat1,Pena-1,Heat2,Pena-2,Time,Rank-Class,Rank-SB,Rank-Total,Rating[%],Manufacturer,Season,Machine
0,2014-07-20,A,赤1,冨永　崇史,1'44.245,0.0,1'42.657,1.0,1'43.657,1.0,,1.0,100.0,Honda,2014,NSR250R
1,2014-07-20,A,赤8,大川　彰人,1'45.963,0.0,1'44.647,0.0,1'44.647,2.0,,2.0,100.96,Honda,2014,NSR250R
2,2014-07-20,A,赤5,池田　秀一,1'46.432,0.0,1'58.366,1.0,1'46.432,5.0,,5.0,102.68,Honda,2014,NSR250R
3,2014-07-20,A,赤13,赤畑　彰頼,1'48.548,0.0,1'47.978,0.0,1'47.978,9.0,,10.0,104.17,Honda,2014,NSR250R
4,2014-07-20,A,赤10,廣瀬　章,9'99.999,0.0,1'48.110,0.0,1'48.110,10.0,,11.0,104.3,Honda,2014,NSR250R
5,2014-07-20,A,赤19,矢嶋　尊,1'50.019,0.0,1'48.595,0.0,1'48.595,13.0,,19.0,104.76,Honda,2014,NSR250R
6,2014-07-20,B,青6,池浦　彰寿,1'49.965,0.0,1'59.119,3.0,1'49.965,12.0,,29.0,106.09,Honda,2014,NSR250R
7,2014-07-20,B,青2,川崎　淳,1'53.558,0.0,1'52.168,0.0,1'52.168,18.0,,47.0,108.21,Honda,2014,NSR250R
8,2014-07-20,B,青10,熊谷　勇武,1'52.472,0.0,1'50.260,2.0,1'52.260,19.0,,48.0,108.3,Honda,2014,NSR250R
9,2014-07-20,C1,緑50,小川　直人,1'58.071,0.0,1'49.920,0.0,1'49.920,1.0,,28.0,106.04,Honda,2014,NSR250R
10,2014-07-20,C1,緑69,橋本　和明,1'54.725,0.0,1'53.476,0.0,1'53.476,20.0,,57.0,109.47,Honda,2014,NSR250R
11,2014-07-20,C1,緑60,坂本　忠行,1'54.822,0.0,1'53.678,0.0,1'53.678,23.0,,62.0,109.67,Honda,2014,NSR250R
12,2014-07-20,C1,緑45,内海　伸二,1'55.493,0.0,1'54.571,0.0,1'54.571,31.0,,71.0,110.53,Honda,2014,NSR250R
13,2014-07-20,C1,緑47,高嶋　香織,9'99.999,0.0,1'54.026,1.0,1'55.026,33.0,,74.0,110.97,Honda,2014,NSR250R
14,2014-07-20,C2,緑21,中嶋　ちはる,1'56.556,0.0,1'56.464,0.0,1'56.464,4.0,,82.0,112.36,Honda,2014,NSR250R
15,2014-07-20,C2,緑9,前川　淳,2'02.420,0.0,1'58.235,1.0,1'59.235,17.0,,106.0,115.03,Honda,2014,NSR250R
16,2014-07-20,C2,緑16,染野　智治,2'00.947,0.0,2'01.219,0.0,2'00.947,22.0,,118.0,116.68,Honda,2014,NSR250R
17,2014-07-20,C2,緑17,池田　麻希子,2'02.791,0.0,2'01.166,0.0,2'01.166,24.0,,121.0,116.89,Honda,2014,NSR250R
18,2014-07-20,C2,緑24,東福　博志,2'13.948,3.0,2'04.765,1.0,2'05.765,35.0,,143.0,121.33,Honda,2014,NSR250R
19,2014-07-20,C2,緑15,小島　幸雄,2'05.804,0.0,2'06.892,0.0,2'05.804,36.0,,144.0,121.37,Honda,2014,NSR250R
20,2014-07-20,NO,黄52,佐藤　雄晃,9'99.999,0.0,2'06.169,0.0,2'06.169,12.0,,145.0,121.72,Honda,2014,NSR250R
21,2016-07-10,A,赤1,冨永　崇史,1'36.183,0.0,1'33.703,0.0,1'33.703,1.0,,1.0,100.0,Honda,2016,NSR250R
22,2016-07-10,A,赤4,池田　秀一,1'37.941,0.0,1'36.090,0.0,1'36.090,3.0,,3.0,102.55,Honda,2016,NSR250R
23,2016-07-10,A,赤7,廣瀬　章,1'40.073,0.0,1'38.396,0.0,1'38.396,7.0,,7.0,105.01,Honda,2016,NSR250R
24,2016-07-10,B,青18,小川　直人,1'39.568,0.0,1'37.666,4.0,1'39.568,6.0,,17.0,106.26,Honda,2016,NSR250R
25,2016-07-10,B,青20,川崎　淳,1'44.836,1.0,9'99.999,0.0,1'45.836,17.0,,52.0,112.95,Honda,2016,NSR250R
26,2016-07-10,C1,緑20,中嶋　ちはる,1'46.534,1.0,1'46.969,0.0,1'46.969,20.0,,56.0,114.16,Honda,2016,NSR250R
27,2016-07-10,C1,緑2,中川　豪,1'48.591,0.0,1'47.215,1.0,1'48.215,29.0,,73.0,115.49,Honda,2016,NSR250R
28,2016-07-10,C2,黄緑26,池田　麻希子,1'50.195,3.0,1'46.899,0.0,1'46.899,2.0,,55.0,114.08,Honda,2016,NSR250R
29,2016-07-10,C2,黄緑15,吉岡　高広,1'52.130,0.0,1'49.792,0.0,1'49.792,13.0,,80.0,117.17,Honda,2016,NSR250R
30,2016-07-10,C2,黄緑22,佐藤　加奈子,2'17.131,3.0,1'49.737,1.0,1'50.737,17.0,,84.0,118.18,Honda,2016,NSR250R
31,2016-07-10,NL,桃5,木村　由紀代,1'54.439,0.0,1'53.525,0.0,1'53.525,1.0,,95.0,121.15,Honda,2016,NSR250R
32,2012-10-07,A,赤9,大川　彰人,1'24.834,0.0,1'21.507,0.0,1'21.507,2.0,,2.0,101.06,Honda,2012,NSR250R
33,2012-10-07,A,赤3,冨永　崇史,1'24.545,0.0,1'21.635,0.0,1'21.635,3.0,,4.0,101.22,Honda,2012,NSR250R
34,2012-10-07,A,赤1,池田　秀一,1'25.274,0.0,1'21.878,0.0,1'21.878,4.0,,5.0,101.52,Honda,2012,NSR250R
35,2012-10-07,A,赤11,矢嶋　尊,1'31.591,1.0,1'22.487,0.0,1'22.487,6.0,,7.0,102.27,Honda,2012,NSR250R
36,2012-10-07,A,赤7,廣瀬　章,1'24.742,0.0,1'22.774,0.0,1'22.774,8.0,,9.0,102.63,Honda,2012,NSR250R
37,2012-10-07,A,赤8,赤畑　彰頼,1'26.437,0.0,1'24.617,0.0,1'24.617,13.0,,19.0,104.91,Honda,2012,NSR250R
38,2012-10-07,A,赤14,北村　聖司,1'26.416,0.0,1'24.830,0.0,1'24.830,14.0,,22.0,105.18,Honda,2012,NSR250R
39,2012-10-07,B,青10,津賀　卓哉,1'24.034,0.0,1'23.142,0.0,1'23.142,2.0,,10.0,103.08,Honda,2012,NSR250R
40,2012-10-07,B,青5,池浦　彰寿,1'24.351,0.0,1'24.355,0.0,1'24.351,4.0,,16.0,104.58,Honda,2012,NSR250R
41,2012-10-07,B,青2,熊谷　勇武,1'30.109,0.0,1'26.765,0.0,1'26.765,14.0,,47.0,107.58,Honda,2012,NSR250R
42,2012-10-07,B,青20,富屋　一彦,1'27.266,0.0,1'27.354,0.0,1'27.266,15.0,,52.0,108.2,Honda,2012,NSR250R
43,2012-10-07,B,青8,小野寺　竜治,1'28.121,0.0,1'29.535,1.0,1'28.121,17.0,,62.0,109.26,Honda,2012,NSR250R
44,2012-10-07,B,青22,川崎　淳,1'35.345,1.0,1'31.038,4.0,1'35.038,22.0,,144.0,117.83,Honda,2012,NSR250R
45,2012-10-07,C1,緑20,橋本　和明,1'29.216,0.0,1'25.605,0.0,1'25.605,4.0,,27.0,106.14,Honda,2012,NSR250R
46,2012-10-07,C1,緑43,片岡　周作,1'26.841,0.0,1'34.204,0.0,1'26.841,10.0,,48.0,107.67,Honda,2012,NSR250R
47,2012-10-07,C1,緑24,小川　直人,1'28.943,0.0,1'27.006,0.0,1'27.006,12.0,,50.0,107.88,Honda,2012,NSR250R
48,2012-10-07,C1,緑27,坂本　和信,1'28.258,0.0,1'26.601,2.0,1'28.258,18.0,,64.0,109.43,Honda,2012,NSR250R
49,2012-10-07,C1,緑50,高嶋　香織,1'30.991,0.0,1'28.373,0.0,1'28.373,21.0,,67.0,109.57,Honda,2012,NSR250R
50,2012-10-07,C1,緑53,中野　正信,1'32.097,0.0,1'29.278,0.0,1'29.278,28.0,,82.0,110.69,Honda,2012,NSR250R
51,2012-10-07,C1,緑4,山田　富士雄,9'99.999,0.0,1'29.666,0.0,1'29.666,32.0,,88.0,111.17,Honda,2012,NSR250R
52,2012-10-07,C1,緑21,足立原　孝実,1'35.302,0.0,1'34.392,0.0,1'34.392,49.0,,140.0,117.03,Honda,2012,NSR250R
53,2012-10-07,C2,黄緑46,名取　陽人,1'27.347,0.0,1'26.125,0.0,1'26.125,2.0,,34.0,106.78,Honda,2012,NSR250R
54,2012-10-07,C2,黄緑49,松本　かおり,1'33.158,0.0,1'30.995,0.0,1'30.995,14.0,,102.0,112.82,Honda,2012,NSR250R
55,2012-10-07,C2,黄緑39,中嶋　ちはる,1'40.661,0.0,1'31.783,0.0,1'31.783,18.0,,115.0,113.8,Honda,2012,NSR250R
56,2012-10-07,C2,黄緑41,大内　紳吾,1'32.456,0.0,1'33.904,0.0,1'32.456,23.0,,124.0,114.63,Honda,2012,NSR250R
57,2012-10-07,C2,黄緑12,東福　博志,1'38.967,0.0,1'35.709,0.0,1'35.709,39.0,,148.0,118.67,Honda,2012,NSR250R
58,2012-10-07,NO,黄3,稲葉　有記,1'31.872,0.0,1'31.744,0.0,1'31.744,3.0,,113.0,113.75,Honda,2012,NSR250R
59,2012-10-07,NO,黄20,河村　克也,1'31.991,0.0,1'32.710,1.0,1'31.991,5.0,,118.0,114.06,Honda,2012,NSR250R
60,2012-10-07,NL,黄59,早乙女　康子,1'45.102,0.0,1'43.947,0.0,1'43.947,6.0,,175.0,128.88,Honda,2012,NSR250R
61,2018-09-16,A,赤1,冨永　崇史,1'43.876,0.0,1'43.986,0.0,1'43.876,1.0,,1.0,100.0,Honda,2018,NSR250R
62,2018-09-16,A,赤9,廣瀬　章,1'45.004,0.0,1'44.973,0.0,1'44.973,5.0,,5.0,101.06,Honda,2018,NSR250R
63,2018-09-16,A,赤26,中嶋　秀和,1'47.239,0.0,1'46.455,0.0,1'46.455,13.0,,16.0,102.48,Honda,2018,NSR250R
64,2018-09-16,A,赤7,小川　直人,1'57.398,0.0,1'46.806,0.0,1'46.806,15.0,,18.0,102.82,Honda,2018,NSR250R
65,2018-09-16,A,赤2,池田　秀一,1'50.031,0.0,1'55.896,0.0,1'50.031,22.0,,33.0,105.93,Honda,2018,NSR250R
66,2018-09-16,B,青1,関根　健,1'48.783,0.0,1'46.145,0.0,1'46.145,3.0,,14.0,102.18,Honda,2018,NSR250R
67,2018-09-16,B,青10,川崎　淳,1'57.149,0.0,1'54.203,2.0,1'56.203,16.0,,78.0,111.87,Honda,2018,NSR250R
68,2018-09-16,C1,緑58,坂本　和信,1'51.368,0.0,1'50.071,0.0,1'50.071,4.0,,34.0,105.96,Honda,2018,NSR250R
69,2018-09-16,C1,緑65,江口　柊,1'53.015,0.0,1'53.329,1.0,1'53.015,15.0,,54.0,108.8,Honda,2018,NSR250R
70,2018-09-16,C1,緑55,佐藤　加奈子,2'03.679,3.0,1'56.216,0.0,1'56.216,27.0,,79.0,111.88,Honda,2018,NSR250R
71,2018-09-16,C1,緑68,中嶋　ちはる,1'57.013,0.0,1'56.236,0.0,1'56.236,28.0,,80.0,111.9,Honda,2018,NSR250R
72,2018-09-16,C2,緑31,姫野　哲也,1'54.343,0.0,1'55.764,0.0,1'54.343,5.0,,64.0,110.08,Honda,2018,NSR250R
73,2018-09-16,C2,緑3,福澤　公之,1'57.261,1.0,1'55.983,1.0,1'56.983,14.0,,86.0,112.62,Honda,2018,NSR250R
74,2018-09-16,C2,緑11,池田　麻希子,1'58.924,0.0,1'58.260,0.0,1'58.260,21.0,,93.0,113.85,Honda,2018,NSR250R
75,2018-09-16,C2,緑16,小島　幸雄,2'01.432,0.0,2'00.198,0.0,2'00.198,27.0,,103.0,115.71,Honda,2018,NSR250R
76,2018-09-16,NO,黄18,桑島　克成,2'05.040,0.0,2'03.260,0.0,2'03.260,16.0,,124.0,118.66,Honda,2018,NSR250R
77,2018-09-16,NO,黄11,吉原　翼,2'42.526,0.0,2'04.967,1.0,2'05.967,24.0,,132.0,121.27,Honda,2018,NSR250R
78,2012-08-05,A,赤4,池田　秀一,1'32.978,0.0,1'31.282,0.0,1'31.282,2.0,,2.0,100.41,Honda,2012,NSR250R
79,2012-08-05,A,赤1,冨永　崇史,1'35.019,0.0,1'31.708,0.0,1'31.708,3.0,,3.0,100.88,Honda,2012,NSR250R
80,2012-08-05,A,赤3,廣瀬　章,1'34.433,1.0,1'32.367,1.0,1'33.367,7.0,,7.0,102.7,Honda,2012,NSR250R
81,2012-08-05,A,赤13,北村　聖司,1'37.249,1.0,1'35.630,0.0,1'35.630,12.0,,16.0,105.19,Honda,2012,NSR250R
82,2012-08-05,C1,緑7,高嶋　香織,1'39.785,0.0,1'37.469,0.0,1'37.469,4.0,,28.0,107.21,Honda,2012,NSR250R
83,2012-08-05,C1,緑14,熊谷　勇武,1'37.640,0.0,9'99.999,0.0,1'37.640,6.0,,30.0,107.4,Honda,2012,NSR250R
84,2012-08-05,C1,緑17,小川　直人,9'99.999,0.0,1'37.993,1.0,1'38.993,11.0,,35.0,108.89,Honda,2012,NSR250R
85,2012-08-05,C1,緑26,中野　正信,1'41.916,1.0,1'40.611,0.0,1'40.611,16.0,,44.0,110.67,Honda,2012,NSR250R
86,2012-08-05,C1,緑16,片岡　周作,1'40.739,1.0,1'40.780,1.0,1'41.739,24.0,,54.0,111.91,Honda,2012,NSR250R
87,2012-08-05,C1,緑2,足立原　孝実,1'45.138,0.0,1'43.560,1.0,1'44.560,26.0,,68.0,115.01,Honda,2012,NSR250R
88,2012-08-05,C2,黄緑29,池田　麻希子,1'45.891,0.0,1'42.970,0.0,1'42.970,8.0,,59.0,113.27,Honda,2012,NSR250R
89,2012-11-18,A,赤1,冨永　崇史,1'23.411,0.0,1'21.776,1.0,1'22.776,1.0,,1.0,100.0,Honda,2012,NSR250R
90,2012-11-18,A,赤3,廣瀬　章,1'57.891,3.0,1'25.159,0.0,1'25.159,8.0,,8.0,102.88,Honda,2012,NSR250R
91,2012-11-18,B,青9,川崎　淳,1'29.739,4.0,9'99.999,0.0,1'33.739,11.0,,66.0,113.24,Honda,2012,NSR250R
92,2012-11-18,C1,緑19,山田　富士雄,1'30.773,0.0,1'29.435,0.0,1'29.435,5.0,,28.0,108.04,Honda,2012,NSR250R
93,2012-11-18,C1,緑32,小川　直人,1'30.748,3.0,1'28.920,1.0,1'29.920,7.0,,31.0,108.63,Honda,2012,NSR250R
94,2012-11-18,C1,緑23,高嶋　香織,1'33.251,0.0,1'30.187,0.0,1'30.187,8.0,,32.0,108.95,Honda,2012,NSR250R
95,2012-11-18,C1,緑6,足立原　孝実,9'99.999,0.0,1'39.864,0.0,1'39.864,34.0,,96.0,120.64,Honda,2012,NSR250R
96,2012-11-18,C2,黄緑35,松本　かおり,1'39.645,3.0,1'35.136,0.0,1'35.136,17.0,,77.0,114.93,Honda,2012,NSR250R
97,2012-11-18,C2,黄緑34,八木　啓介,9'99.999,0.0,1'39.719,1.0,1'40.719,29.0,,97.0,121.68,Honda,2012,NSR250R
98,2012-11-18,NO,黄18,桑島　克成,1'42.591,2.0,1'41.075,0.0,1'41.075,6.0,,99.0,122.11,Honda,2012,NSR250R
99,2012-11-18,NO,黄22,三井　秀保,1'58.407,3.0,1'51.462,1.0,1'52.462,17.0,,120.0,135.86,Honda,2012,NSR250R
100,2012-11-18,NL,黄52,早乙女　康子,9'99.999,0.0,1'53.735,1.0,1'54.735,4.0,,122.0,138.61,Honda,2012,NSR250R
101,2015-03-22,A,赤1,冨永　崇史,1'16.188,0.0,1'15.850,0.0,1'15.850,2.0,,2.0,100.2,Honda,2014,NSR250R
102,2015-03-22,A,赤7,大川　彰人,1'17.509,0.0,1'15.999,0.0,1'15.999,4.0,,4.0,100.4,Honda,2014,NSR250R
103,2015-03-22,A,赤4,池田　秀一,1'21.882,0.0,1'16.259,0.0,1'16.259,5.0,,5.0,100.74,Honda,2014,NSR250R
104,2015-03-22,A,赤11,廣瀬　章,1'18.981,2.0,1'17.731,0.0,1'17.731,10.0,,11.0,102.69,Honda,2014,NSR250R
105,2015-03-22,A,赤16,矢嶋　尊,1'19.357,0.0,1'18.375,0.0,1'18.375,14.0,,17.0,103.54,Honda,2014,NSR250R
106,2015-03-22,B,青9,池浦　彰寿,1'19.509,0.0,1'18.846,0.0,1'18.846,5.0,,20.0,104.16,Honda,2014,NSR250R
