,No,Rider,Front,Rear,Heat1,Pena-1,Heat2,Pena-2,Time,Rating[%],Date,Season,Manufacturer,Class,Machine
0,101,神尾 俊博,D: α14,D: α14,"1'59""593",0,"1'53""750",0,"1'53""750",129.23,2018-06-30,2018,Honda,D3,CBR600RR
1,102,小島 かおる,P: SC1,P: SC1,"9'59""999",0,"1'42""994",1,"1'43""994",118.15,2018-06-30,2018,Honda,C2,VTR250
2,111,小島 かおる,P:スーパーコルサ,P:スーパーコルサ,"1'51""417",0,"1'47""129",1,"1'48""129",115.69,2020-07-12,2020,Honda,C2,VTR250
3,115,小島 かおる,P:スーパーコルサ,P:スーパーコルサ,"9'59""999",MC,"1'40""753",0,"1'40""753",113.37,2021-05-04,2021,Honda,C2,VTR250
4,107,小島 かおる,P:スーパーコルサ,P:スーパーコルサ,"9'59""999",MC,"1'37""720",0,"1'37""720",120.91,2017-11-09,2017,Honda,C2,VTR250
5,102,小島 かおる,P:スーパーコルサV2,P:スーパーコルサV2,"1'39""968",1,"1'38""845",0,"1'38""845",115.18,2019-09-28,2019,Honda,C2,VTR250
6,124,小島 かおる,P:,SC1,"1'29""370",0,"1'28""686",0,"1'28""686",118.25,2018-10-20,2018,Honda,C2,VTR250
7,114,小島 かおる,P:スーパーコルサ,P:スーパーコルサ,"9'59""999",MC,"1'36""145",0,"1'36""145",116.67,2020-10-03,2020,Honda,C2,VTR250
8,105,小島 かおる,P:SC1,P:SC1,"1'35""179",1,"1'34""473",0,"1'34""473",118.52,2018-05-03,2018,Honda,C2,VTR250
9,115,小島 かおる,P:スーパーコルサ,P:スーパーコルサ,"1'30""165",0,"1'28""916",0,"1'28""916",115.02,2019-06-16,2019,Honda,C2,VTR250
10,113,小島 かおる,P:スーパーコルサSC1,P:スーパーコルサSC1,"1'46""437",1,"1'43""241",1,"1'44""241",118.87,2019-11-09,2019,Honda,C2,VTR250
11,107,小島 かおる,P: SC1,P: SC1,"9'59""999",MC,"1'50""564",0,"1'50""564",117.83,2018-08-18,2018,Honda,C2,VTR250
12,103,須田 修平,D: α13SP,D: α14,"2'00""437",0,"1'46""855",0,"1'46""855",121.4,2018-06-30,2018,Suzuki,D1,DR-Z400SM
13,114,須田 修平,D:α-13SP,D:α-13SP,"1'32""538",0,"1'30""393",0,"1'30""393",116.93,2019-06-16,2019,Suzuki,D1,DR-Z400SM
14,105,中村 忍,P: スーパーコルサ,P: スーパーコルサ,"1'43""664",1,"1'41""674",0,"1'41""674",115.51,2018-06-30,2018,Suzuki,C2,GSX-R1000
15,141,中村 忍,P:スーパーコルサ,P:スーパーコルサ,"1'35""244",1,"1'33""655",2,"1'35""655",118.35,2017-11-09,2017,Suzuki,C2,GSX-R1000
16,118,中村 忍,P:スーパーコルサV2,P:スーパーコルサV2,"1'37""433",0,"9'59""999",MC,"1'37""433",113.54,2019-09-28,2019,Suzuki,C2,GSX-R1000
17,133,中村 忍,スーパーコルサ,スーパーコルサ,"1'25""986",3,"1'24""995",1,"1'25""995",114.66,2018-10-20,2018,Suzuki,C2,GSX-R1000
18,125,中村 忍,P:スーパーコルサ,P:スーパーコルサ,"1'29""004",0,"1'27""055",0,"1'27""055",112.62,2019-06-16,2019,Suzuki,C2,GSX-R1000
19,142,中村 忍,P:スーパーコルサSC1,P:スーパーコルサSC1,"1'41""114",1,"1'38""690",0,"1'38""690",112.54,2019-11-09,2019,Suzuki,C2,GSX-R1000
